Proizvod;Mesec_pruzanja_usluge;Jedinicna_cena;Broj_transakcija;Fakturisan_iznos;Fakturisan_korigovan_iznos;Naplacen_iznos;Kumulativ_naplacenih_iznosa;Nenaplacen_iznos;Nenaplacen_korigovan_iznos;Storniran_iznos_u_tekucem_mesecu_iz_perioda_pracenja;Otkazan_iznos;Kumulativ_otkazanih_iznosa;Iznos_za_prenos_sredstava_;Provajder
S_1011__1011NoKW                        ;2024-11-01;5;771;3855;3855;105;3825;30;30;0;0;0;126;ComTradeSI
S_1018_PROMET_1018Promet                ;2024-11-01;10;54;540;540;0;500;40;40;0;0;0;0;ComTradeSI
S_1018_STANJE_1018Stanje                ;2024-11-01;5;132;660;660;75;660;0;0;0;0;0;90;ComTradeSI
S_1500_A_1500A                          ;2024-11-01;6;2;12;12;0;12;0;0;0;0;0;0;ComTradeSI
S_1500_DR_1500DR                        ;2024-11-01;6;911;5466;5466;42;5442;24;24;0;0;0;50.4;ComTradeSI
S_1500_K_1500K                          ;2024-11-01;6;4725;28350;28350;174;28218;132;132;0;0;0;208.8;ComTradeSI
S_1500_R_1500R                          ;2024-11-01;6;10207;61242;61242;510;60810;432;432;0;0;0;612;ComTradeSI
S_1500_ST_1500ST                        ;2024-11-01;6;3564;21384;21384;246;21348;36;36;0;0;0;295.2;ComTradeSI
S_1500_TN_1500TN                        ;2024-11-01;6;66;396;396;6;390;6;6;0;0;0;7.2;ComTradeSI
S_2125_STANJE_INFORMACIJE5              ;2024-11-01;5;18;90;90;10;85;5;5;0;0;0;12;ComTradeSI
S_2323_OTP_2323OTP                      ;2024-11-01;7;346;2422;2422;14;2408;14;14;0;0;0;16.8;ComTradeSI
S_2323_OTPSTA_2323OTPSTA                ;2024-11-01;7;1;7;7;0;7;0;0;0;0;0;0;ComTradeSI
S_3131_DAJ_3131DAJ                      ;2024-11-01;5;521;2605;2605;20;2600;5;5;0;0;0;24;ComTradeSI
S_3131_REG_3131REG                      ;2024-11-01;5;527;2635;2635;20;2630;5;5;0;0;0;24;ComTradeSI
S_4499_PSSTA_4499_PSSTA                 ;2024-11-01;7;21033;147231;147231;1547;145481;1750;1750;0;0;0;1856.4;ComTradeSI
S_4884_PIN_4884PIN                      ;2024-11-01;5;1976;9880;9880;90;9810;70;70;0;0;0;108;ComTradeSI
S_4884_REG_4884REG                      ;2024-11-01;5;2163;10815;10815;115;10760;55;55;0;0;0;138;ComTradeSI
S_5622_CCPIN_5622CCPIN                  ;2024-11-01;5;53;265;265;0;260;5;5;0;0;0;0;ComTradeSI
S_5622_DR_5622DR                        ;2024-11-01;5;324;1620;1620;85;1620;0;0;0;0;0;102;ComTradeSI
S_5622_KT_5622KT                        ;2024-11-01;5;830;4150;4150;20;4105;45;45;0;0;0;24;ComTradeSI
S_5622_POMOC_5622POMOC                  ;2024-11-01;5;10;50;50;0;50;0;0;0;0;0;0;ComTradeSI
S_5622_PRIJAVA_5622PRIJAVA              ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;ComTradeSI
S_5622_T_5622T                          ;2024-11-01;5;7072;35360;35360;30;35335;25;25;0;0;0;36;ComTradeSI
S_5622_TR_5622TR                        ;2024-11-01;5;13399;66995;66995;2945;66845;150;150;0;0;0;3534;ComTradeSI
S_5622_TRS_5622TRS                      ;2024-11-01;5;12;60;60;0;60;0;0;0;0;0;0;ComTradeSI
S_6222_KURS_6222KURS                    ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;ComTradeSI
S_6222_TEKUCI_6222TEKUCI                ;2024-11-01;5;6;30;30;0;30;0;0;0;0;0;0;ComTradeSI
S_8080_PIN_8080PIN                      ;2024-11-01;5;1532;7660;7660;60;7610;50;50;0;0;0;72;ComTradeSI
S_8080_REG_8080REG                      ;2024-11-01;5;1649;8245;8245;65;8190;55;55;0;0;0;78;ComTradeSI
S_1011__1011NoKW                        ;2024-12-01;5;794;3970;3970;595;3885;85;85;0;0;0;714;ComTradeSI
S_1018_PROMET_1018Promet                ;2024-12-01;10;66;660;660;40;630;30;30;0;0;0;48;ComTradeSI
S_1018_STANJE_1018Stanje                ;2024-12-01;5;130;650;650;230;615;35;35;0;0;0;276;ComTradeSI
S_1500_A_1500A                          ;2024-12-01;6;2;12;12;0;12;0;0;0;0;0;0;ComTradeSI
S_1500_D_1500D                          ;2024-12-01;6;1;6;6;0;6;0;0;0;0;0;0;ComTradeSI
S_1500_DR_1500DR                        ;2024-12-01;6;865;5190;5190;1008;4986;204;204;0;0;0;1209.6;ComTradeSI
S_1500_K_1500K                          ;2024-12-01;6;5085;30510;30510;5244;30024;486;486;0;0;0;6292.8;ComTradeSI
S_1500_R_1500R                          ;2024-12-01;6;10614;63684;63684;9900;62748;936;936;0;0;0;11880;ComTradeSI
S_1500_ST_1500ST                        ;2024-12-01;6;4059;24354;24354;1188;23934;420;420;0;0;0;1425.6;ComTradeSI
S_1500_TN_1500TN                        ;2024-12-01;6;65;390;390;42;378;12;12;0;0;0;50.4;ComTradeSI
S_2125_STANJE_INFORMACIJE5              ;2024-12-01;5;9;45;45;0;35;10;10;0;0;0;0;ComTradeSI
S_2323_OTP_2323OTP                      ;2024-12-01;7;438;3066;3066;203;2989;77;77;0;0;0;243.6;ComTradeSI
S_2323_OTPSTA_2323OTPSTA                ;2024-12-01;7;3;21;21;14;21;0;0;0;0;0;16.8;ComTradeSI
S_3131_DAJ_3131DAJ                      ;2024-12-01;5;493;2465;2465;400;2395;70;70;0;0;0;480;ComTradeSI
S_3131_REG_3131REG                      ;2024-12-01;5;537;2685;2685;410;2615;70;70;0;0;0;492;ComTradeSI
S_4499_PSSTA_4499_PSSTA                 ;2024-12-01;7;22281;155967;155967;14140;150976;4991;4991;0;0;0;16968;ComTradeSI
S_4884_PIN_4884PIN                      ;2024-12-01;5;1739;8695;8695;1060;8505;190;190;0;0;0;1272;ComTradeSI
S_4884_REG_4884REG                      ;2024-12-01;5;1953;9765;9765;1235;9550;215;215;0;0;0;1482;ComTradeSI
S_5622_CCPIN_5622CCPIN                  ;2024-12-01;5;45;225;225;35;220;5;5;0;0;0;42;ComTradeSI
S_5622_DR_5622DR                        ;2024-12-01;5;287;1435;1435;190;1400;35;35;0;0;0;228;ComTradeSI
S_5622_INFO_5622INFO                    ;2024-12-01;5;1;5;5;0;5;0;0;0;0;0;0;ComTradeSI
S_5622_KT_5622KT                        ;2024-12-01;5;977;4885;4885;855;4640;245;245;0;0;0;1026;ComTradeSI
S_5622_KURS_5622KURS                    ;2024-12-01;5;2;10;10;0;10;0;0;0;0;0;0;ComTradeSI
S_5622_POMOC_5622POMOC                  ;2024-12-01;5;5;25;25;0;25;0;0;0;0;0;0;ComTradeSI
S_5622_PRIJAVA_5622PRIJAVA              ;2024-12-01;5;1;5;5;0;5;0;0;0;0;0;0;ComTradeSI
S_5622_T_5622T                          ;2024-12-01;5;8064;40320;40320;5215;39965;355;355;0;0;0;6258;ComTradeSI
S_5622_TR_5622TR                        ;2024-12-01;5;13922;69610;69610;6505;65530;4080;4080;0;0;0;7806;ComTradeSI
S_5622_TRS_5622TRS                      ;2024-12-01;5;16;80;80;5;80;0;0;0;0;0;6;ComTradeSI
S_6222_TEKUCI_6222TEKUCI                ;2024-12-01;5;5;25;25;25;25;0;0;0;0;0;30;ComTradeSI
S_8080_PIN_8080PIN                      ;2024-12-01;5;1146;5730;5730;720;5605;125;125;0;0;0;864;ComTradeSI
S_8080_REG_8080REG                      ;2024-12-01;5;1221;6105;6105;765;5975;130;130;0;0;0;918;ComTradeSI
S_1018_PROMET_1018Promet                ;2025-01-01;10;40;400;400;380;380;20;20;0;0;0;456;ComTradeSI
S_1018_STANJE_1018Stanje                ;2025-01-01;5;96;480;480;335;335;145;145;0;0;0;402;ComTradeSI
S_1500_DR_1500DR                        ;2025-01-01;6;658;3948;3948;2826;2826;1122;1122;0;0;0;3391.2;ComTradeSI
S_1500_K_1500K                          ;2025-01-01;6;4167;25002;25002;20454;20454;4548;4548;0;0;0;24544.8;ComTradeSI
S_1500_R_1500R                          ;2025-01-01;6;8873;53238;53238;43296;43296;9942;9942;0;0;0;51955.2;ComTradeSI
S_1500_ST_1500ST                        ;2025-01-01;6;2937;17622;17622;15252;15252;2370;2370;0;0;0;18302.4;ComTradeSI
S_1500_TN_1500TN                        ;2025-01-01;6;63;378;378;300;300;78;78;0;0;0;360;ComTradeSI
S_2125_STANJE_INFORMACIJE5              ;2025-01-01;5;14;70;70;50;50;20;20;0;0;0;60;ComTradeSI
S_2323_OTP_2323OTP                      ;2025-01-01;7;306;2142;2142;1855;1855;287;287;0;0;0;2226;ComTradeSI
S_3131_DAJ_3131DAJ                      ;2025-01-01;5;525;2625;2625;2065;2065;560;560;0;0;0;2478;ComTradeSI
S_3131_REG_3131REG                      ;2025-01-01;5;560;2800;2800;2205;2205;595;595;0;0;0;2646;ComTradeSI
S_4499_PSSTA_4499_PSSTA                 ;2025-01-01;7;21428;149996;149996;128443;128443;21553;21553;0;0;0;154131.6;ComTradeSI
S_4884_PIN_4884PIN                      ;2025-01-01;5;1235;6175;6175;5385;5385;790;790;0;0;0;6462;ComTradeSI
S_4884_REG_4884REG                      ;2025-01-01;5;1352;6760;6760;5830;5830;930;930;0;0;0;6996;ComTradeSI
S_5622_3DS_5622_3DS                     ;2025-01-01;5;1;5;5;5;5;0;0;0;0;0;6;ComTradeSI
S_5622_CCPIN_5622CCPIN                  ;2025-01-01;5;73;365;365;330;330;35;35;0;0;0;396;ComTradeSI
S_5622_DR_5622DR                        ;2025-01-01;5;254;1270;1270;1160;1160;110;110;0;0;0;1392;ComTradeSI
S_5622_INFO_5622INFO                    ;2025-01-01;5;3;15;15;15;15;0;0;0;0;0;18;ComTradeSI
S_5622_KT_5622KT                        ;2025-01-01;5;838;4190;4190;3380;3380;810;810;0;0;0;4056;ComTradeSI
S_5622_T_5622T                          ;2025-01-01;5;6242;31210;31210;25980;25980;5230;5230;0;0;0;31176;ComTradeSI
S_5622_TR_5622TR                        ;2025-01-01;5;12063;60315;60315;49350;49350;10965;10965;0;0;0;59220;ComTradeSI
S_5622_TRS_5622TRS                      ;2025-01-01;5;12;60;60;60;60;0;0;0;0;0;72;ComTradeSI
S_6222_TEKUCI_6222TEKUCI                ;2025-01-01;5;9;45;45;0;0;45;45;0;0;0;0;ComTradeSI
S_8080_PIN_8080PIN                      ;2025-01-01;5;1424;7120;7120;6010;6010;1110;1110;0;0;0;7212;ComTradeSI
S_8080_REG_8080REG                      ;2025-01-01;5;1520;7600;7600;6410;6410;1190;1190;0;0;0;7692;ComTradeSI
